seller_id,week,total_orders,on_time_rate,avg_review_score,freight_pct_of_price
ecccfa2bb93b34a3bf033cc5d1dcdc69,2016-09-12,1,0.0,1.0,6.29
011b0eaba87386a2ae96a7d32bb531d1,2016-10-03,1,100.0,4.0,29.19
01cf7e3d21494c41fb86034f2e714fa1,2016-10-03,1,100.0,5.0,27.55
024b564ae893ce8e9bfa02c10a401ece,2016-10-03,1,100.0,5.0,33.76
0336182e1b3e92f029d5354832045fdf,2016-10-03,1,100.0,2.0,58.96
05ff92fedb5be47920fea08e501238b9,2016-10-03,1,100.0,5.0,35.97
066a6914e1ebf3ea95a216c73a986b91,2016-10-03,1,100.0,4.0,14.24
0747d5bb69f0586cc869d8af4c50f93e,2016-10-03,2,100.0,4.5,42.18
0c8380b62e38e8a1e6adbeba7eb9688c,2016-10-03,2,100.0,2.0,68.11
0db783cfcd3b73998abc6e10e59a102f,2016-10-03,2,100.0,2.5,45.86
0ea22c1cfbdc755f86b9b54b39c16043,2016-10-03,2,100.0,3.0,66.05
11305281b50fff20ae8bb473f8e11876,2016-10-03,1,100.0,4.0,34.52
13e85aac53340018b40c2af68001b7e0,2016-10-03,1,100.0,5.0,79.33
1554a68530182680ad5c8b042c3ab563,2016-10-03,3,100.0,4.67,35.37
184a67a8f9f63234d3a92340bbdb727f,2016-10-03,1,100.0,2.0,71.39
2138ccb85b11a4ec1e37afbd1c8eda1f,2016-10-03,2,100.0,5.0,66.61
229c3efbfb0ea2058de4ccdfbc3d784a,2016-10-03,1,100.0,1.0,27.44
23613d49c3ac2bd302259e55c06c050c,2016-10-03,1,100.0,5.0,91.32
25e6ffe976bd75618accfe16cefcbd0d,2016-10-03,1,100.0,5.0,12.76
2f4b9d112bfa44a214bc6cef085d17c8,2016-10-03,1,100.0,5.0,117.88
3481aa57cd91f9f9d3fa1fa12d9a3bf7,2016-10-03,1,100.0,5.0,31.03
3606774ec64634822d78dc2db6d37045,2016-10-03,1,100.0,5.0,9.1
38874e327ce94d11390b96eb42d61928,2016-10-03,1,100.0,3.0,13.51
38e679b9e0064cd94c6f035707344dae,2016-10-03,1,100.0,5.0,46.33
391fc6631aebcf3004804e51b40bcf1e,2016-10-03,8,100.0,2.69,32.61
432c67955c0acd1fd6b0b5d678766a71,2016-10-03,1,100.0,5.0,15.59
440dd6ab244315c632130ecfb63827b1,2016-10-03,3,100.0,4.67,54.17
45d33f715e24d15a6ccf5c17b3a23e3c,2016-10-03,1,100.0,3.0,47.25
46dc3b2cc0980fb8ec44634e21d2718e,2016-10-03,8,100.0,3.14,8.03
4b1eaadf791bdbbad8c4a35b65236d52,2016-10-03,1,100.0,5.0,36.13
4b90495391ac0bd181a80a459df1e718,2016-10-03,1,100.0,4.0,7.3
4bde6149c15cf7e177b36fa060dd6de8,2016-10-03,1,100.0,5.0,20.44
4d600e08ecbe08258c79e536c5a42fee,2016-10-03,2,100.0,5.0,3.32
515d781150feed28a6ac091bb0e3cb8c,2016-10-03,1,100.0,5.0,12.04
522620dcb18a6b31cd7bdf73665113a9,2016-10-03,2,100.0,4.5,28.55
54aa8463e87776b5612f4bdc4bd5d4de,2016-10-03,1,100.0,3.0,6.17
575df70bde3f9f2b30bf8d2e9910d725,2016-10-03,1,100.0,5.0,16.86
59fb871bf6f4522a87ba567b42dafecf,2016-10-03,1,100.0,1.0,14.78
5a8e7d5003a1f221f9e1d6e411de7c23,2016-10-03,1,100.0,3.0,24.76
5b179e9e8cc7ab6fd113a46ca584da81,2016-10-03,4,100.0,1.67,16.61
5f0057b677eb963672bf05dfa3f16c34,2016-10-03,1,100.0,5.0,11.42
620c87c171fb2a6dd6e8bb4dec959fc6,2016-10-03,23,100.0,4.75,13.75
624f4ece8da4aafb77699233d480f8ef,2016-10-03,1,100.0,5.0,25.63
62c50c1af4dfdc4149d25c5222043d39,2016-10-03,2,100.0,5.0,7.69
63b9ae557efed31d1f7687917d248a8d,2016-10-03,1,100.0,5.0,145.2
6cf476a4ca74498db55cbccdaa9dcfb6,2016-10-03,1,100.0,5.0,18.89
7008613ea464bad5cb9b83456e1e6a8f,2016-10-03,1,100.0,5.0,39.35
700f03c207639c22d933381ff60b35c2,2016-10-03,1,100.0,5.0,9.4
710e3548e02bc1d2831dfc4f1b5b14d4,2016-10-03,2,100.0,4.0,29.6
76d5af76d0271110f9af36c92573f765,2016-10-03,3,100.0,4.67,17.42
77530e9772f57a62c906e1c21538ab82,2016-10-03,1,100.0,5.0,20.34
7d456afc660226829370f3173d14520c,2016-10-03,1,100.0,5.0,9.72
7dc8c42cc750eeafea6c85712ffee9bf,2016-10-03,1,100.0,4.0,6.81
7e93a43ef30c4f03f38b393420bc753a,2016-10-03,1,100.0,5.0,1.75
817f85dbb65aa3e70831d90fe75cdf89,2016-10-03,6,100.0,4.33,15.26
822b63912576852aea9a8436d72317b7,2016-10-03,3,100.0,4.67,2.96
827f8f69dfa529c561901c4f2e0f332f,2016-10-03,1,100.0,5.0,52.04
82bd0703a4aefd6b599e5bfdaed378fb,2016-10-03,4,100.0,2.83,35.29
85d9eb9ddc5d00ca9336a2219c97bb13,2016-10-03,1,100.0,4.0,69.47
86bb7c4b535e49a541baf3266b1c95b1,2016-10-03,2,100.0,4.5,5.1
87f3e35268860433e13d577825aada95,2016-10-03,1,100.0,,72.96
897060da8b9a21f655304d50fd935913,2016-10-03,1,0.0,1.0,16.46
89bc797e2e29667aa035d4368f9b7f92,2016-10-03,2,100.0,4.33,43.59
8a32e327fe2c1b3511609d81aaf9f042,2016-10-03,1,100.0,2.0,36.55
8b11118053756a9a2932f447e11fc1b5,2016-10-03,1,100.0,3.0,13.96
8c16d1f32a54d92897cc437244442e1b,2016-10-03,3,100.0,5.0,45.77
8fdca8e349553f99bc738833a62c8802,2016-10-03,1,100.0,5.0,10.93
939f6e231201f26803cb5c3a3d2940b3,2016-10-03,3,100.0,4.75,83.8
989becdce12ebc39863c2bceab6f3ca1,2016-10-03,1,100.0,3.0,16.26
99eaacc9e6046db1c82b163c5f84869f,2016-10-03,1,100.0,5.0,8.03
9df5750209b83567ec144eb299d7d634,2016-10-03,1,100.0,5.0,3.65
a3a38f4affed601eb87a97788c949667,2016-10-03,2,100.0,3.5,14.38
a7f13822ceb966b076af67121f87b063,2016-10-03,4,100.0,1.25,25.82
aaed1309374718fdd995ee4c58c9dfcd,2016-10-03,1,100.0,5.0,27.58
ae9690c6e8fee182c28c9ff8e11ca52c,2016-10-03,1,100.0,5.0,26.18
afa6714acee029b2dfdf357e5579cc03,2016-10-03,1,100.0,5.0,12.52
b14db04aa7881970e83ffa9426897925,2016-10-03,3,100.0,2.0,46.45
b17b679f4f5ce2e03ce6968c62648246,2016-10-03,6,100.0,4.83,36.88
b1fecf4da1fa2689bccffa0121953643,2016-10-03,2,100.0,5.0,11.4
b2ba3715d723d245138f291a6fe42594,2016-10-03,1,100.0,1.0,25.73
b335c59ab742f751a85db9c411a86739,2016-10-03,1,100.0,5.0,27.95
b499c00f28f4b7069ff6550af8c1348a,2016-10-03,1,100.0,5.0,36.55
b56906f7fd1696e043f1bcce164c487b,2016-10-03,2,100.0,2.33,44.43
b7ba853e9551f4558440881fd3e5c815,2016-10-03,1,100.0,1.0,18.77
bac44fa8e13424950488659b5f765c41,2016-10-03,1,100.0,5.0,72.96
bd4ff04377f974574f7f0bf9d6ce7dde,2016-10-03,3,100.0,4.33,30.18
c12d7463a579237ffb9248bd7cff378b,2016-10-03,1,100.0,4.0,33.67
c43d924a0f1688ee9fae0efcd6f539d4,2016-10-03,1,100.0,4.0,50.54
c7dcd301ecfe5ab7f778ac172cf74be7,2016-10-03,3,100.0,3.0,21.73
c9a06ece156bb057372c68718ec8909b,2016-10-03,2,100.0,2.5,20.16
cab85505710c7cb9b720bceb52b01cee,2016-10-03,1,100.0,5.0,21.96
cac4c8e7b1ca6252d8f20b2fc1a2e4af,2016-10-03,1,100.0,4.0,5.02
cca3071e3e9bb7d12640c9fbe2301306,2016-10-03,8,100.0,4.23,24.07
ce27a3cc3c8cc1ea79d11e561e9bebb6,2016-10-03,2,100.0,3.0,51.73
d03698c2efd04a549382afa6623e27fb,2016-10-03,1,100.0,5.0,9.47
d101c6da914ae3d53f7bee42283f2fe2,2016-10-03,3,100.0,4.25,20.57
d12c926d74ceff0a90a21184466ce161,2016-10-03,1,100.0,4.0,76.83
d4d99b60c4c94cd35acd502cec65dc8d,2016-10-03,1,100.0,3.0,19.74
d4f91e8be86b38da2ee35bc489645a9d,2016-10-03,1,100.0,5.0,22.34
d50d79cb34e38265a8649c383dcffd48,2016-10-03,1,100.0,4.0,20.23
dc8798cbf453b7e0f98745e396cc5616,2016-10-03,2,100.0,3.0,35.42
dd2bdf855a9172734fbc3744021ae9b9,2016-10-03,1,100.0,5.0,8.81
df560393f3a51e74553ab94004ba5c87,2016-10-03,1,100.0,3.0,18.75
e24fc9fcd865784fb25705606fe3dfe7,2016-10-03,1,100.0,4.0,17.19
e5a38146df062edaf55c38afa99e42dc,2016-10-03,1,100.0,5.0,17.27
e8f6dc8e6a1dcde89d20e3995c8d90b3,2016-10-03,5,100.0,5.0,35.24
ecccfa2bb93b34a3bf033cc5d1dcdc69,2016-10-03,9,90.0,2.7,20.69
ed49da7cadefc454d6a67de249eab240,2016-10-03,1,100.0,5.0,40.56
ed859002ad59dbf8cf3602696a6c3000,2016-10-03,4,100.0,4.5,12.15
f09b760d23495ac9a7e00d29b769007c,2016-10-03,1,100.0,4.0,78.49
f41ce2e25237f9092cd8e6e7516c7a2f,2016-10-03,1,100.0,5.0,25.17
f5b84683a9bf9e1df748cf40f601b39c,2016-10-03,1,100.0,5.0,10.81
f5f2ab9bdb6b30c14c61be68c5ed37da,2016-10-03,2,100.0,5.0,33.16
f67efa3f0b6761102a7f8c6b7b571f5d,2016-10-03,2,100.0,3.0,13.6
f7496d659ca9fdaf323c0aae84176632,2016-10-03,1,100.0,5.0,24.5
fa1a9dec3a9940c072684a46728bf1fc,2016-10-03,2,100.0,3.5,16.31
fedaedd3ca31d56ab33e92035e4b361c,2016-10-03,1,100.0,4.0,27.47
ffff564a4f9085cd26170f4732393726,2016-10-03,1,100.0,1.0,28.21
0307f7565ff85b299b6e5ef162b1b1a9,2016-10-10,1,100.0,2.0,64.85
0ea22c1cfbdc755f86b9b54b39c16043,2016-10-10,1,100.0,1.0,83.53
1554a68530182680ad5c8b042c3ab563,2016-10-10,2,100.0,5.0,38.34
3481aa57cd91f9f9d3fa1fa12d9a3bf7,2016-10-10,1,100.0,1.0,46.09
46dc3b2cc0980fb8ec44634e21d2718e,2016-10-10,1,100.0,5.0,18.45
4bde6149c15cf7e177b36fa060dd6de8,2016-10-10,1,100.0,5.0,20.44
4e922959ae960d389249c378d1c939f5,2016-10-10,1,100.0,3.0,76.42
522620dcb18a6b31cd7bdf73665113a9,2016-10-10,1,100.0,3.0,32.88
56642bcb79900e777d68e91915cb4267,2016-10-10,2,100.0,5.0,15.92
5bba18b40e8c973b0f32e748004775b0,2016-10-10,1,100.0,5.0,6.06
5f0057b677eb963672bf05dfa3f16c34,2016-10-10,1,100.0,5.0,43.86
80e6699fe29150b372a0c8a1ebf7dcc8,2016-10-10,1,100.0,5.0,62.12
86bb7c4b535e49a541baf3266b1c95b1,2016-10-10,1,100.0,4.0,6.43
89bc797e2e29667aa035d4368f9b7f92,2016-10-10,2,100.0,2.0,54.81
9c3c24eca51c52b91c1de727d2a2ae06,2016-10-10,1,100.0,4.0,23.53
a36b125ac6d5fdbc7f50de85c9157bdc,2016-10-10,1,100.0,4.0,22.06
a7f13822ceb966b076af67121f87b063,2016-10-10,1,0.0,,49.22
b335c59ab742f751a85db9c411a86739,2016-10-10,1,100.0,5.0,35.17
cab85505710c7cb9b720bceb52b01cee,2016-10-10,1,100.0,4.0,38.14
ce27a3cc3c8cc1ea79d11e561e9bebb6,2016-10-10,2,100.0,4.0,136.54
d101c6da914ae3d53f7bee42283f2fe2,2016-10-10,1,100.0,5.0,48.82
dd2bdf855a9172734fbc3744021ae9b9,2016-10-10,1,100.0,5.0,13.34
de66a66f2dd06bb9ec37aa96987466a3,2016-10-10,1,100.0,5.0,24.34
ecccfa2bb93b34a3bf033cc5d1dcdc69,2016-10-10,2,100.0,3.33,25.13
f4aba7c0bca51484c30ab7bdc34bcdd1,2016-10-10,1,100.0,4.0,73.85
fa1a9dec3a9940c072684a46728bf1fc,2016-10-10,1,100.0,5.0,16.28
fa40cc5b934574b62717c68f3d678b6d,2016-10-10,1,100.0,5.0,49.78
fa5fdc4e4bb6bd1009ad0e4ac4096562,2016-10-10,1,100.0,5.0,20.29
ffff564a4f9085cd26170f4732393726,2016-10-10,1,100.0,5.0,17.3
48efc9d94a9834137efd9ea76b065a38,2016-12-19,1,100.0,5.0,80.0
054694fa03fe82cec4b7551487331d74,2017-01-02,1,100.0,1.0,6.08
1b8b75e227c9a9c100d0c210fb6176ce,2017-01-02,1,100.0,5.0,8.75
46dc3b2cc0980fb8ec44634e21d2718e,2017-01-02,1,100.0,5.0,9.56
48efc9d94a9834137efd9ea76b065a38,2017-01-02,30,100.0,5.0,96.53
4a3ca9315b744ce9f8e9374361493884,2017-01-02,1,100.0,3.0,22.77
